,PassengerId,Pclass,Age,Fare
0,892,3,34.5,7.8292
1,893,3,47.0,7.0
2,894,2,62.0,9.6875
3,895,3,27.0,8.6625
4,896,3,22.0,12.2875
5,897,3,14.0,9.225
6,898,3,30.0,7.6292
7,899,2,26.0,29.0
8,900,3,18.0,7.2292
9,901,3,21.0,24.15
10,902,3,,7.8958
11,903,1,46.0,26.0
12,904,1,23.0,82.2667
13,905,2,63.0,26.0
14,906,1,47.0,61.175
15,907,2,24.0,27.7208
16,908,2,35.0,12.35
17,909,3,21.0,7.225
18,910,3,27.0,7.925
19,911,3,45.0,7.225
20,912,1,55.0,59.4
21,913,3,9.0,3.1708
22,914,1,,31.6833
23,915,1,21.0,61.3792
24,916,1,48.0,262.375
25,917,3,50.0,14.5
26,918,1,22.0,61.9792
27,919,3,22.5,7.225
28,920,1,41.0,30.5
29,921,3,,21.6792
30,922,2,50.0,26.0
31,923,2,24.0,31.5
32,924,3,33.0,20.575
33,925,3,,23.45
34,926,1,30.0,57.75
35,927,3,18.5,7.2292
36,928,3,,8.05
37,929,3,21.0,8.6625
38,930,3,25.0,9.5
39,931,3,,56.4958
40,932,3,39.0,13.4167
41,933,1,,26.55
42,934,3,41.0,7.85
43,935,2,30.0,13.0
44,936,1,45.0,52.5542
45,937,3,25.0,7.925
46,938,1,45.0,29.7
47,939,3,,7.75
48,940,1,60.0,76.2917
49,941,3,36.0,15.9
50,942,1,24.0,60.0
51,943,2,27.0,15.0333
52,944,2,20.0,23.0
53,945,1,28.0,263.0
54,946,2,,15.5792
55,947,3,10.0,29.125
56,948,3,35.0,7.8958
57,949,3,25.0,7.65
58,950,3,,16.1
59,951,1,36.0,262.375
60,952,3,17.0,7.8958
61,953,2,32.0,13.5
62,954,3,18.0,7.75
63,955,3,22.0,7.725
64,956,1,13.0,262.375
65,957,2,,21.0
66,958,3,18.0,7.8792
67,959,1,47.0,42.4
68,960,1,31.0,28.5375
69,961,1,60.0,263.0
70,962,3,24.0,7.75
71,963,3,21.0,7.8958
72,964,3,29.0,7.925
73,965,1,28.5,27.7208
74,966,1,35.0,211.5
75,967,1,32.5,211.5
76,968,3,,8.05
77,969,1,55.0,25.7
78,970,2,30.0,13.0
79,971,3,24.0,7.75
80,972,3,6.0,15.2458
81,973,1,67.0,221.7792
82,974,1,49.0,26.0
83,975,3,,7.8958
84,976,2,,10.7083
85,977,3,,14.4542
86,978,3,27.0,7.8792
87,979,3,18.0,8.05
88,980,3,,7.75
89,981,2,2.0,23.0
90,982,3,22.0,13.9
91,983,3,,7.775
92,984,1,27.0,52.0
93,985,3,,8.05
94,986,1,25.0,26.0
95,987,3,25.0,7.7958
96,988,1,76.0,78.85
97,989,3,29.0,7.925
98,990,3,20.0,7.8542
99,991,3,33.0,8.05
100,992,1,43.0,55.4417
101,993,2,27.0,26.0
102,994,3,,7.75
103,995,3,26.0,7.775
104,996,3,16.0,8.5167
105,997,3,28.0,22.525
106,998,3,21.0,7.8208
107,999,3,,7.75
108,1000,3,,8.7125
109,1001,2,18.5,13.0
110,1002,2,41.0,15.0458
111,1003,3,,7.7792
112,1004,1,36.0,31.6792
113,1005,3,18.5,7.2833
114,1006,1,63.0,221.7792
115,1007,3,18.0,14.4542
116,1008,3,,6.4375
117,1009,3,1.0,16.7
118,1010,1,36.0,75.2417
119,1011,2,29.0,26.0
120,1012,2,12.0,15.75
121,1013,3,,7.75
122,1014,1,35.0,57.75
123,1015,3,28.0,7.25
124,1016,3,,7.75
125,1017,3,17.0,16.1
126,1018,3,22.0,7.7958
127,1019,3,,23.25
128,1020,2,42.0,13.0
129,1021,3,24.0,8.05
130,1022,3,32.0,8.05
131,1023,1,53.0,28.5
132,1024,3,,25.4667
133,1025,3,,6.4375
134,1026,3,43.0,7.8958
135,1027,3,24.0,7.8542
136,1028,3,26.5,7.225
137,1029,2,26.0,13.0
138,1030,3,23.0,8.05
139,1031,3,40.0,46.9
140,1032,3,10.0,46.9
141,1033,1,33.0,151.55
142,1034,1,61.0,262.375
143,1035,2,28.0,26.0
144,1036,1,42.0,26.55
145,1037,3,31.0,18.0
146,1038,1,,51.8625
147,1039,3,22.0,8.05
148,1040,1,,26.55
149,1041,2,30.0,26.0
150,1042,1,23.0,83.1583
151,1043,3,,7.8958
152,1044,3,60.5,
153,1045,3,36.0,12.1833
154,1046,3,13.0,31.3875
155,1047,3,24.0,7.55
156,1048,1,29.0,221.7792
157,1049,3,23.0,7.8542
158,1050,1,42.0,26.55
159,1051,3,26.0,13.775
160,1052,3,,7.7333
161,1053,3,7.0,15.2458
162,1054,2,26.0,13.5
163,1055,3,,7.0
164,1056,2,41.0,13.0
165,1057,3,26.0,22.025
166,1058,1,48.0,50.4958
167,1059,3,18.0,34.375
168,1060,1,,27.7208
169,1061,3,22.0,8.9625
170,1062,3,,7.55
171,1063,3,27.0,7.225
172,1064,3,23.0,13.9
173,1065,3,,7.2292
174,1066,3,40.0,31.3875
175,1067,2,15.0,39.0
176,1068,2,20.0,36.75
177,1069,1,54.0,55.4417
178,1070,2,36.0,39.0
179,1071,1,64.0,83.1583
180,1072,2,30.0,13.0
181,1073,1,37.0,83.1583
182,1074,1,18.0,53.1
183,1075,3,,7.75
184,1076,1,27.0,247.5208
185,1077,2,40.0,16.0
186,1078,2,21.0,21.0
187,1079,3,17.0,8.05
188,1080,3,,69.55
189,1081,2,40.0,13.0
190,1082,2,34.0,26.0
191,1083,1,,26.0
192,1084,3,11.5,14.5
193,1085,2,61.0,12.35
194,1086,2,8.0,32.5
195,1087,3,33.0,7.8542
196,1088,1,6.0,134.5
197,1089,3,18.0,7.775
198,1090,2,23.0,10.5
199,1091,3,,8.1125
200,1092,3,,15.5
201,1093,3,0.33,14.4
202,1094,1,47.0,227.525
203,1095,2,8.0,26.0
204,1096,2,25.0,10.5
205,1097,1,,25.7417
206,1098,3,35.0,7.75
207,1099,2,24.0,10.5
208,1100,1,33.0,27.7208
209,1101,3,25.0,7.8958
210,1102,3,32.0,22.525
211,1103,3,,7.05
212,1104,2,17.0,73.5
213,1105,2,60.0,26.0
214,1106,3,38.0,7.775
215,1107,1,42.0,42.5
216,1108,3,,7.8792
217,1109,1,57.0,164.8667
218,1110,1,50.0,211.5
219,1111,3,,8.05
220,1112,2,30.0,13.8583
221,1113,3,21.0,8.05
222,1114,2,22.0,10.5
223,1115,3,21.0,7.7958
224,1116,1,53.0,27.4458
225,1117,3,,15.2458
226,1118,3,23.0,7.7958
227,1119,3,,7.75
228,1120,3,40.5,15.1
229,1121,2,36.0,13.0
230,1122,2,14.0,65.0
231,1123,1,21.0,26.55
232,1124,3,21.0,6.4958
233,1125,3,,7.8792
234,1126,1,39.0,71.2833
235,1127,3,20.0,7.8542
236,1128,1,64.0,75.25
237,1129,3,20.0,7.225
238,1130,2,18.0,13.0
239,1131,1,48.0,106.425
240,1132,1,55.0,27.7208
241,1133,2,45.0,30.0
242,1134,1,45.0,134.5
243,1135,3,,7.8875
244,1136,3,,23.45
245,1137,1,41.0,51.8625
246,1138,2,22.0,21.0
247,1139,2,42.0,32.5
248,1140,2,29.0,26.0
249,1141,3,,14.4542
250,1142,2,0.92,27.75
251,1143,3,20.0,7.925
252,1144,1,27.0,136.7792
253,1145,3,24.0,9.325
254,1146,3,32.5,9.5
255,1147,3,,7.55
256,1148,3,,7.75
257,1149,3,28.0,8.05
258,1150,2,19.0,13.0
259,1151,3,21.0,7.775
260,1152,3,36.5,17.4
261,1153,3,21.0,7.8542
262,1154,2,29.0,23.0
263,1155,3,1.0,12.1833
264,1156,2,30.0,12.7375
265,1157,3,,7.8958
266,1158,1,,0.0
267,1159,3,,7.55
268,1160,3,,8.05
269,1161,3,17.0,8.6625
270,1162,1,46.0,75.2417
271,1163,3,,7.75
272,1164,1,26.0,136.7792
273,1165,3,,15.5
274,1166,3,,7.225
275,1167,2,20.0,26.0
276,1168,2,28.0,10.5
277,1169,2,40.0,26.0
278,1170,2,30.0,21.0
279,1171,2,22.0,10.5
280,1172,3,23.0,8.6625
281,1173,3,0.75,13.775
282,1174,3,,7.75
283,1175,3,9.0,15.2458
284,1176,3,2.0,20.2125
285,1177,3,36.0,7.25
286,1178,3,,7.25
287,1179,1,24.0,82.2667
288,1180,3,,7.2292
289,1181,3,,8.05
290,1182,1,,39.6
291,1183,3,30.0,6.95
292,1184,3,,7.2292
293,1185,1,53.0,81.8583
294,1186,3,36.0,9.5
295,1187,3,26.0,7.8958
296,1188,2,1.0,41.5792
297,1189,3,,21.6792
298,1190,1,30.0,45.5
299,1191,3,29.0,7.8542
300,1192,3,32.0,7.775
301,1193,2,,15.0458
302,1194,2,43.0,21.0
303,1195,3,24.0,8.6625
304,1196,3,,7.75
305,1197,1,64.0,26.55
306,1198,1,30.0,151.55
307,1199,3,0.83,9.35
308,1200,1,55.0,93.5
309,1201,3,45.0,14.1083
310,1202,3,18.0,8.6625
311,1203,3,22.0,7.225
312,1204,3,,7.575
313,1205,3,37.0,7.75
314,1206,1,55.0,135.6333
315,1207,3,17.0,7.7333
316,1208,1,57.0,146.5208
317,1209,2,19.0,10.5
318,1210,3,27.0,7.8542
319,1211,2,22.0,31.5
320,1212,3,26.0,7.775
321,1213,3,25.0,7.2292
322,1214,2,26.0,13.0
323,1215,1,33.0,26.55
324,1216,1,39.0,211.3375
325,1217,3,23.0,7.05
326,1218,2,12.0,39.0
327,1219,1,46.0,79.2
328,1220,2,29.0,26.0
329,1221,2,21.0,13.0
330,1222,2,48.0,36.75
331,1223,1,39.0,29.7
332,1224,3,,7.225
333,1225,3,19.0,15.7417
334,1226,3,27.0,7.8958
335,1227,1,30.0,26.0
336,1228,2,32.0,13.0
337,1229,3,39.0,7.2292
338,1230,2,25.0,31.5
339,1231,3,,7.2292
340,1232,2,18.0,10.5
341,1233,3,32.0,7.5792
342,1234,3,,69.55
343,1235,1,58.0,512.3292
344,1236,3,,14.5
345,1237,3,16.0,7.65
346,1238,2,26.0,13.0
347,1239,3,38.0,7.2292
348,1240,2,24.0,13.5
349,1241,2,31.0,21.0
350,1242,1,45.0,63.3583
351,1243,2,25.0,10.5
352,1244,2,18.0,73.5
353,1245,2,49.0,65.0
354,1246,3,0.17,20.575
355,1247,1,50.0,26.0
356,1248,1,59.0,51.4792
357,1249,3,,7.8792
358,1250,3,,7.75
359,1251,3,30.0,15.55
360,1252,3,14.5,69.55
361,1253,2,24.0,37.0042
362,1254,2,31.0,21.0
363,1255,3,27.0,8.6625
364,1256,1,25.0,55.4417
365,1257,3,,69.55
366,1258,3,,14.4583
367,1259,3,22.0,39.6875
368,1260,1,45.0,59.4
369,1261,2,29.0,13.8583
370,1262,2,21.0,11.5
371,1263,1,31.0,134.5
372,1264,1,49.0,0.0
373,1265,2,44.0,13.0
374,1266,1,54.0,81.8583
375,1267,1,45.0,262.375
376,1268,3,22.0,8.6625
377,1269,2,21.0,11.5
378,1270,1,55.0,50.0
379,1271,3,5.0,31.3875
380,1272,3,,7.75
381,1273,3,26.0,7.8792
382,1274,3,,14.5
383,1275,3,19.0,16.1
384,1276,2,,12.875
385,1277,2,24.0,65.0
386,1278,3,24.0,7.775
387,1279,2,57.0,13.0
388,1280,3,21.0,7.75
389,1281,3,6.0,21.075
390,1282,1,23.0,93.5
391,1283,1,51.0,39.4
392,1284,3,13.0,20.25
393,1285,2,47.0,10.5
394,1286,3,29.0,22.025
395,1287,1,18.0,60.0
396,1288,3,24.0,7.25
397,1289,1,48.0,79.2
398,1290,3,22.0,7.775
399,1291,3,31.0,7.7333
400,1292,1,30.0,164.8667
401,1293,2,38.0,21.0
402,1294,1,22.0,59.4
403,1295,1,17.0,47.1
404,1296,1,43.0,27.7208
405,1297,2,20.0,13.8625
406,1298,2,23.0,10.5
407,1299,1,50.0,211.5
408,1300,3,,7.7208
409,1301,3,3.0,13.775
410,1302,3,,7.75
411,1303,1,37.0,90.0
412,1304,3,28.0,7.775
413,1305,3,,8.05
414,1306,1,39.0,108.9
415,1307,3,38.5,7.25
